No;Kode;Mentah;Sumber;Air (g);Energi (kal);Protein (g);Lemak (g);Karbohidrat (g);Serat (g);Abu (g);Kalsium (mg);Fosfor (mg);Besi (mg);Natrium (mg);Kalium (mg);Tembaga (mg);Seng (mg);Retinol (mcg);B-Karoten (mcg);Karoten Total (mcg);Thiamin (mg);Riboflavin (mg);Niasin (mg);Vitamin C (mg);BDD (%);Kelompok Makanan;Regulasi
1034;GR079;Tunggal;Ikan titang, segar;78.8;82;17.4;0.4;2.3;-;1.1;145;130;1.8;110;275;0.1;0.8;581;-;-;0.64;0.03;1.5;-;100;Ikan dsb;KZGMI-2001
1035;GR080;Tunggal;Ikan tongkol, segar;74.7;100;13.7;1.5;8.0;-;2.1;92;606;1.7;202;227;0.2;1.6;181;-;-;0.35;0.03;6.6;-;100;Ikan dsb;KZGMI-2001
1036;GR081;Tunggal;Ikan turi, segar;76.9;96;19.2;2.0;0.2;-;2.1;340;340;0.8;370;300;0.1;2.0;26;-;-;-;-;-;-;-;Ikan dsb;KZGMI-2001
1037;GR082;Tunggal;Udang, besar, segar;85.5;56;11.4;0.6;1.2;-;1.3;30;20;0.3;190;210;0.4;0.8;-;0.1;-;0.14;-;0.1;-;68;Ikan dsb;KZGMI-2001
1038;GR083;Tunggal;Udang galah, segar;79.0;81;16.5;0.3;3.0;-;1.2;87;167;0.7;95;132;0.7;1.2;-;3;-;0.24;0.03;2.9;-;68;Ikan dsb;KZGMI-2001
1039;GR084;Tunggal;Udang, segar;75.0;91;21.0;0.2;0.1;-;3.7;136;170;8.0;178;222.4;0.3;1.3;18;4;-;0.01;0.40;3.7;-;68;Ikan dsb;DABM-1964
1040;HP001;Olahan;Telur ayam, dadar, masakan;61.9;251;16.3;19.4;1.4;-;1.0;62;250;2.5;-;-;-;-;36;-;221;0.21;-;-;-;100;Telur;KZGPI-1990
1041;HP002;Olahan;Telur bebek, asin, mentah;66.5;179;13.6;13.3;4.4;-;2.2;120;157;1.8;483;140.1;-;-;253;13;-;0.28;0.98;0.6;-;83;Telur;DABM-60/64
1042;HP003;Olahan;Telur bebek, dadar, masakan;55.1;301;20.0;23.7;-;-;1.2;71;600;9.2;-;-;-;-;122;-;613;0.35;-;-;-;100;Telur;KZGPI-1990
1043;HP004;Olahan;Ikan, telur, asin, mentah;37.8;358;20.7;26.4;9.4;-;5.7;48;311;15.1;2684;59;0.4;3.0;1866;-;-;0.21;0.54;2.1;-;100;Telur;KZGMI-2001
1044;HP005;Olahan;Bayau mi balu, masakan;36.1;313;6.0;12.2;44.8;-;0.9;-;-;-;-;-;-;-;783;89;-;0.14;0.27;9.7;-;100;Telur;KGZMI-2001
1045;HP006;Olahan;Cucuru bayau, masakan;35.0;349;6.8;18.7;38.3;-;1.2;-;-;-;-;-;-;-;-;123;-;0.06;0.25;-;-;100;Telur;KGZMI-2001
